category,industry_or_sector,region,unit,seasonal_adjustment,sector,2018,2019,2020,2021,2022,2023,2024,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2
public sector employment by sector,total public sector,uk,thousands,sa,public sector,5351,5395,5557,5682,5748,5864,5940,5349,5351,5345,5361,5374,5395,5418,5435,5462,5557,5560,5591,5671,5682,5699,5719,5735,5748,5766,5793,5827,5864,5899,5928,5956,5940
public sector employment by sector,civil service,gb,thousands,sa,public sector,431,448,459,498,512,522,546,430,431,436,440,446,448,451,453,456,459,463,473,505,498,505,507,512,512,513,515,521,522,529,535,544,546
public sector employment by industry,construction,uk,thousands,sa,public sector,35,36,36,34,34,33,35,35,35,34,35,36,36,35,35,36,36,36,35,35,34,35,35,35,34,34,34,34,33,34,34,35,35
public sector employment by industry,hm forces,uk,thousands,sa,public sector,154,153,157,160,157,150,148,155,154,153,153,153,153,154,154,155,157,157,159,160,160,160,159,158,157,156,154,152,150,150,148,148,148
public sector employment by industry,police,uk,thousands,sa,public sector,247,249,261,269,272,280,282,246,247,247,247,249,249,252,253,258,261,263,264,268,269,271,270,272,272,274,276,280,280,281,281,282,282
public sector employment by industry,public admin,uk,thousands,sa,public sector,1028,1054,1072,1119,1143,1175,1216,1023,1028,1033,1038,1050,1054,1057,1065,1067,1072,1081,1097,1127,1119,1127,1132,1143,1143,1148,1152,1159,1175,1185,1196,1209,1216
public sector employment by industry,education,uk,thousands,sa,public sector,1500,1496,1482,1491,1500,1501,1500,1496,1500,1493,1494,1492,1496,1492,1487,1483,1482,1488,1487,1484,1491,1497,1498,1497,1500,1496,1498,1502,1501,1507,1504,1498,1500
public sector employment by industry,nhs,uk,thousands,sa,public sector,1650,1695,1783,1847,1884,1962,2027,1642,1650,1663,1671,1682,1695,1711,1727,1744,1783,1777,1792,1835,1847,1850,1862,1874,1884,1898,1917,1938,1962,1983,2005,2017,2027
public sector employment by industry,other health & social,uk,thousands,sa,public sector,222,215,209,209,213,211,205,228,222,216,215,213,215,213,212,210,209,210,210,211,209,212,211,212,213,213,212,210,211,209,208,206,205
public sector employment by industry,other public sector,uk,thousands,sa,public sector,514,499,557,550,545,550,524,523,514,508,504,497,499,508,501,508,557,550,547,549,550,550,551,543,545,549,550,551,550,553,555,559,524
private sector employment,,uk,thousands,sa,private sector,27072,27411,27000,26807,27172,27218,27292,27060,27072,27166,27375,27398,27411,27407,27569,27331,27000,26775,26579,26565,26807,26987,26938,27122,27172,27185,27306,27499,27218,27297,27179,27011,27292
public sector employment as % of total employment,,uk,percentage,sa,public sector,16.5,16.4,17.1,17.5,17.5,17.7,17.9,16.5,16.5,16.4,16.4,16.4,16.4,16.5,16.5,16.7,17.1,17.2,17.4,17.6,17.5,17.4,17.5,17.5,17.5,17.5,17.5,17.5,17.7,17.8,17.9,18.1,17.9
private sector employment as % of total employment,,uk,percentage,sa,private sector,83.5,83.6,82.9,82.5,82.5,82.3,82.1,83.5,83.5,83.6,83.6,83.6,83.6,83.5,83.5,83.3,82.9,82.8,82.6,82.4,82.5,82.6,82.5,82.5,82.5,82.5,82.5,82.5,82.3,82.2,82.1,81.9,82.1
private sector employment excl major reclassifications,,uk,percentage,sa,private sector,83.8,83.8,83.4,82.9,83.0,82.7,82.4,83.9,83.8,83.8,83.9,83.9,83.8,83.8,83.8,83.6,83.4,83.2,83.1,82.8,82.9,83.0,82.9,83.0,83.0,82.9,82.9,82.9,82.7,82.6,82.5,82.4,82.4
public sector employment excl major reclassifications,,uk,thousands,sa,public sector,5245,5306,5412,5540,5609,5725,5841,5230,5245,5256,5271,5285,5306,5331,5346,5369,5412,5421,5451,5530,5540,5559,5578,5595,5609,5626,5653,5688,5725,5762,5791,5816,5841
public sector employment excl major reclassifications,,uk,percentage,sa,public sector,16.2,16.2,16.6,17.1,17.0,17.3,17.6,16.1,16.2,16.2,16.1,16.1,16.2,16.2,16.2,16.4,16.6,16.8,16.9,17.2,17.1,17.0,17.1,17.0,17.0,17.1,17.1,17.1,17.3,17.4,17.5,17.6,17.6
private sector employment excl major reclassifications,,uk,thousands,sa,private sector,27178,27500,27145,26949,27311,27357,27391,27179,27178,27255,27465,27487,27500,27494,27658,27424,27145,26914,26719,26706,26949,27127,27079,27262,27311,27325,27446,27638,27357,27434,27316,27151,27391
