col1,col22,col23,col24,col25,col26
,,,,,
8 to 23 year olds, , , ,,England
 ,20 to 23 year olds,,,,
 ,20172,20202,2021,2022,2023
 ,%,%,%,%,%
 , , , ,, 
All, , , ,, 
Unlikely to have a disorder,:,:,70.7937837874486,67.49550873043,63.9733537520154
Possible disorder,:,:,12.6502203956726,13.7924415890515,14.3931598835408
Probable disorder,:,:,16.5559958168788,18.7120496805185,21.6334863644438
 , , ,,,
Boys/young men, , ,,,
Unlikely to have a disorder,:,:,77.0312647595466,76.13841097107,69.6914069208605
Possible disorder,:,:,12.0679030650116,13.7093363401372,15.7618777199998
Probable disorder,:,:,10.9008321754418,10.1522526887928,14.5467153591396
 , , ,,,
Girls/young women, , ,,,
Unlikely to have a disorder,:,:,64.1792052909472,57.8409796406182,58.0041406440597
Possible disorder,:,:,13.2677427112934,13.88527406833,12.9643224437283
Probable disorder,:,:,22.5530519977595,28.2737462910518,29.031536912212
 , , , ,,
Base, , , ,,
All,:,:,479,388,367
Boys/young men,:,:,205,163,131
Girls/young women,:,:,274,225,236
 , , , ,, 
,,,,,
,,,,,
,,,,,
