col1,col17,col18,col19,col20,col21
,,,,,
8 to 23 year olds, , , ,, 
 ,17 to 19 year olds,,,,
 ,2017,2020,2021,2022,2023
 ,%,%,%,%,%
 , , , ,, 
All, , , ,, 
Unlikely to have a disorder,77.5376888790764,68.9751428895466,68.5857661142985,60.4654216973607,61.3987547312288
Possible disorder,12.3380702806638,13.2868429058944,14.0604264038073,13.8350186534925,15.3337604724266
Probable disorder,10.1242408402598,17.7380142045589,17.3538074818942,25.6995596491468,23.2674847963446
 , , , ,,
Boys/young men, , , ,,
Unlikely to have a disorder,83.0802136925586,77.0291243765629,74.6570193078543,70.5459801503949,69.9392631602757
Possible disorder,9.91955732494185,14.2370284786365,15.0571119457044,10.723707476246,14.6675579785581
Probable disorder,7.00022898249957,8.73384714480059,10.2858687464413,18.7303123733591,15.3931788611662
 , , , ,,
Girls/young women, , , ,,
Unlikely to have a disorder,71.6775913569169,60.4617089141998,62.1594212461269,49.7966397798516,52.3666734978212
Possible disorder,14.8951579358534,12.2824524499556,13.0054473388343,17.1278818993338,16.0383081106039
Probable disorder,13.4272507072298,27.2558386358445,24.8351314150389,33.0754783208145,31.5950183915749
 , , , ,,
Base, , , ,,
All,936,536,585,468,352
Boys/young men,479,224,266,196,142
Girls/young women,457,312,319,272,210
 , , , ,, 
,,,,, 
,,,,, 
,,,,, 
