col1,col12,col13,col14,col15,col16
,,,,,
8 to 23 year olds, , , ,, 
 ,8 to 16 year olds,,,,
 ,2017,2020,2021,2022,2023
 ,%,%,%,%,%
 , , , ,, 
All, , , ,, 
Unlikely to have a disorder,73.5803089115168,72.5255709360407,71.280267036126,69.9859774291814,67.7165824494076
Possible disorder,13.8869269143774,10.4049356091638,11.023118024527,11.0517316374927,12.0062132031672
Probable disorder,12.5327641741059,17.0694934547954,17.6966149393472,18.962290933326,20.2772043474251
 ,,,,,
Boys/young men,,,,,
Unlikely to have a disorder,70.7811792598053,72.3546108088332,70.261089848501,69.435245055095,66.1101263400064
Possible disorder,16.5916005371493,10.7116522747348,12.3694612778586,11.1693611191693,13.1345454027825
Probable disorder,12.6272202030455,16.9337369164318,17.3694488736405,19.3953938257357,20.7553282572111
 ,,,,,
Girls/young women,,,,,
Unlikely to have a disorder,76.5493576476402,72.7044123715163,72.313770762877,70.5628168901275,69.4060272254853
Possible disorder,11.018068090204,10.0840792220576,9.65784926979059,10.9285260116853,10.8195919633061
Probable disorder,12.4325742621555,17.2115084064262,18.0283799673324,18.5086570981873,19.7743808112087
 , , , , , 
Base, , , , , 
All,4860,2053,2187.99999999999,1770,1509
Boys/young men,2444,1015,1079,866,745
Girls/young women,2416,1038,1109,904,763.999999999999
 , , , ,, 
,,,,,
,,,,,
,,,,,
